sourceRow,sheetName,existingName,productCode,sheetUnit,suggestedPrimaryUnit,suggestedResolution
12,"Rafia Bening Super 0,75 (6)",Rafia Bening Super 0.75 (6),RBS0760,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
13,"Rafia Bening Super 0,8 (10)",Rafia Bening Super 0.8 (10),RBS0810,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
14,"Rafia Bening Super 0,95 (10)",Rafia Bening Super 0.95 (10),RBS9510,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
24,"Rafia Biru Super 0,7 (6)",Rafia Biru Super 0.7 (6),RRS0760,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
25,"Rafia Biru Super 0,8 (10)",Rafia Biru Super 0.8 (10),RRS0810,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
36,"Rafia Hijau Super 0,7 (6)",Rafia Hijau Super 0.7 (6),RJS0760,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
37,"Rafia Hijau Super 0,8 (10)",Rafia Hijau Super 0.8 (10),RJS0810,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
53,"Rafia Hitam KW 0,4 (10)",Rafia Hitam KW 0.4 (10),RHK0410,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
58,"Rafia Hitam Super 0,5 (10)",Rafia Hitam Super 0.5 (10),RHS0510,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
59,"Rafia Hitam Super 0,85 (10)",Rafia Hitam Super 0.85 (10),RHS8510,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
68,"Rafia Kuning Super 0,8 (10)",Rafia Kuning Super 0.8 (10),RKS0810,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
77,"Rafia Merah Super 0,8 (10)",Rafia Merah Super 0.8 (10),RMS0810,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
78,"Rafia Merah Super 0,95 (10)",Rafia Merah Super 0.95 (10),RMS9510,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
102,"Rafia Warna Super Mix 0,15 (10)",Rafia Warna Super Mix 0.15 (10),RWM1510,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
103,"Rafia Warna Super Mix 0,4 (10)",Rafia Warna Super Mix 0.4 (10),RWM0410,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
104,"Rafia Warna Super Mix 0,7 (6)",Rafia Warna Super Mix 0.7 (6),RWM0760,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
105,"Rafia Warna Super Mix 0,8 (10)",Rafia Warna Super Mix 0.8 (10),RWM0810,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
106,"Rafia Warna Super Mix 0,95 (10)",Rafia Warna Super Mix 0.95 (10),RWM9510,Bal,BAL,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
174,"Sedotan Biru Lurik Dop Lancip Lubang 8,5",Sedotan Biru Lurik Dop Lancip Lubang 8.5,SRLD0SL8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
180,"Sedotan Biru Tumpul Lubang 8,5",Sedotan Biru Tumpul Lubang 8.5,SRP00ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
188,"Sedotan Hijau Lancip Lubang 5,5",Sedotan Hijau Lancip Lubang 5.5,SJP00WL,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
189,"Sedotan Hijau Lancip Lubang 8,5",Sedotan Hijau Lancip Lubang 8.5,SJP00SL8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
195,"Sedotan Hijau Lurik Dop Lubang 8,5",Sedotan Hijau Lurik Dop Lubang 8.5,SJLD0ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
200,"Sedotan Hijau Tumpul Lubang 8,5",Sedotan Hijau Tumpul Lubang 8.5,SJP00ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
201,"Sedotan Hijau Tumpul Lubang 8,5 Jasa",Sedotan Hijau Tumpul Lubang 8.5 Jasa,SJP00JT8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
205,"Sedotan Hitam Lancip Lubang 5,5",Sedotan Hitam Lancip Lubang 5.5,SHP00WL,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
231,"Sedotan Hitam Tumpul Lubang 8,5",Sedotan Hitam Tumpul Lubang 8.5,SHP00ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
235,"Sedotan Kuning KW Lubang 6,5",Sedotan Kuning KW Lubang 6.5,SHP00KT65,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
238,"Sedotan Kuning Lancip Lubang 5,5",Sedotan Kuning Lancip Lubang 5.5,SKP00WL,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
239,"Sedotan Kuning Lancip Lubang 8,5",Sedotan Kuning Lancip Lubang 8.5,SKP00SL8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
251,"Sedotan Kuning Tumpul Lubang 8,5",Sedotan Kuning Tumpul Lubang 8.5,SKP00ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
252,"Sedotan Kuning Tumpul Lubang 8,5 Jasa",Sedotan Kuning Tumpul Lubang 8.5 Jasa,SKP00JT8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
275,"Sedotan Merah Lurik Dop Lubang 8,5",Sedotan Merah Lurik Dop Lubang 8.5,SMLD0ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
279,"Sedotan Merah Tumpul Lubang 8,5",Sedotan Merah Tumpul Lubang 8.5,SMP00ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
280,"Sedotan Merah Tumpul Lubang 8,5 Jasa",Sedotan Merah Tumpul Lubang 8.5 Jasa,SMP00JT8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
281,"Sedotan Orange Lancip Lubang 5,5",Sedotan Orange Lancip Lubang 5.5,SOP00WL,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
288,"Sedotan Pink Lancip Lubang 5,5",Sedotan Pink Lancip Lubang 5.5,SPP00SL6,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
289,"Sedotan Pink Lancip Lubang 8,5",Sedotan Pink Lancip Lubang 8.5,SPP00SL8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
299,"Sedotan Pink Tumpul Lubang 8,5",Sedotan Pink Tumpul Lubang 8.5,SPP00ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
300,"Sedotan Pink Tumpul Lubang 8,5 Jasa",Sedotan Pink Tumpul Lubang 8.5 Jasa,SPP00JT8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
312,"Sedotan Ungu Lurik Dop Lubang 8,5",Sedotan Ungu Lurik Dop Lubang 8.5,SULD0ST8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
315,"Sedotan Ungu Tumpul Lubang 8,5 Jasa",Sedotan Ungu Tumpul Lubang 8.5 Jasa,SUP00JT8,Kg,KG,TREAT_AS_EXISTING_VARIANT_NAME_FORMAT_DIFFERENCE
