sheet,row,code_raw,code_norm,name_sheet,amount,suggested_db_code,suggested_db_name,similarity_score,suggestion_quality
NERACA MEI,12,1-115,1-115,Piutang Dagang,,1-115b,Piutang Dagang Rafia,1.0,HIGH
NERACA MEI,13,1-116,1-116,Pajak Dibayar Dimuka,,1-116b,Pajak Dibayar Dimuka Rafia,1.0,HIGH
NERACA MEI,15,1-121,1-121,Konstruksi dalam Pengerjaan,,4-201,Diskon Penjualan,0.512,MEDIUM
NERACA MEI,16,1-122,1-122,Asuransi Dibayar Dimuka,,1-124b,Asuransi Dibayar Dimuka Rafia,1.0,HIGH
NERACA MEI,17,1-123,1-123,Sewa Dibayar Dimuka,,1-125,Sewa Dibayar Dimuka,1.0,HIGH
NERACA MEI,18,1-124,1-124,Persediaan Hadiah,,1-124b,Asuransi Dibayar Dimuka Rafia,0.5,MEDIUM
NERACA MEI,29,1-212,1-212,Bangunan,,1-212b,Bangunan Rafia,1.0,HIGH
NERACA MEI,30,1-213,1-213,Mesin,,1-213b,Mesin Rafia,1.0,HIGH
NERACA MEI,32,1-215,1-215,Peralatan Kantor,,1-215b,Peralatan Kantor Rafia,1.0,HIGH
NERACA MEI,33,1-216,1-216,Akum. Penyusutan Bangunan,,1-216b,Akum. Penyusutan Bangunan Rafia,1.0,HIGH
NERACA MEI,34,1-217,1-217,Akum. Penyusutan Mesin,,1-217b,Akum. Penyusutan Mesin Rafia,1.0,HIGH
NERACA MEI,36,1-219,1-219,Akum. Penyusutan Peralatan Kantor,,1-219b,Akum. Penyusutan Peralatan Kantor Rafia,1.0,HIGH
NERACA MEI,41,2-110,2-110,Hutang Dagang,,2-110b,Hutang Dagang Rafia,1.0,HIGH
NERACA MEI,44,2-120,2-120,PPN Keluaran,,2-120b,PPN Keluaran Rafia,1.0,HIGH
NERACA MEI,45,2-130,2-130,PPN Masukan,,2-130b,PPN Masukan Rafia,1.0,HIGH
NERACA MEI,46,2-131,2-131,Hutang Pajak,,2-131b,Hutang Pajak Rafia,1.0,HIGH
NERACA MEI,47,2-140,2-140,Hutang Lancar Lainnya,,2-140b,Hutang Lancar Lainnya Rafia,1.0,HIGH
NERACA MEI,50,2-210,2-210,Hutang Jangka Panjang,,2-210b,Hutang Jangka Panjang Rafia,1.0,HIGH
NERACA MEI,53,3-100b,3-100,Modal Saham,,3-100b,Modal Saham Rafia,1.0,HIGH
NERACA MEI,54,3-201b,3-201,Laba Tahun Berjalan,,3-200b,Laba Ditahan Rafia,0.645,MEDIUM
NERACA MEI,55,3-200b,3-200,Laba Ditahan,,3-200b,Laba Ditahan Rafia,1.0,HIGH
LABA RUGI MEI,22,4-500b,4-500,Potongan PPh Psl 4 (2),,4-500b,Potongan PPh Psl 4(2) Rafia,1.0,HIGH
LABA RUGI MEI,27,5-011b,5-011,Pemakaian Bahan Baku,,5-011b,Pemakaian Bahan Baku Rafia,1.0,HIGH
LABA RUGI MEI,28,5-012b,5-012,Tenaga Kerja Langsung,,5-012b,Tenaga Kerja Langsung Rafia,1.0,HIGH
LABA RUGI MEI,29,5-013b,5-013,Biaya Penyusutan Mesin,,5-013b,Biaya Penyusutan Mesin Rafia,1.0,HIGH
LABA RUGI MEI,30,5-022b,5-022,Pemakaian Bahan Kemasan,,5-022b,Pemakaian Bahan Kemasan Rafia,1.0,HIGH
LABA RUGI MEI,31,5-022c,5-022,Pemakaian Bahan Penolong,,5-022c,Pemakaian Bahan Penolong,1.0,HIGH
LABA RUGI MEI,33,5-024b,5-024,Ongkos Angkut,,5-024b,Ongkos Angkut Rafia,1.0,HIGH
LABA RUGI MEI,34,5-024c,5-024,Ongkos Pelet,,5-024c,Ongkos Pelet,1.0,HIGH
LABA RUGI MEI,35,5-025,5-025,Retur Pembelian,,4-302,Retur Penjualan,0.733,MEDIUM
LABA RUGI MEI,40,6-022b,6-022,Biaya Spare Part Mesin,,6-022b,Biaya Spare Part Mesin,1.0,HIGH
LABA RUGI MEI,41,6-023b,6-023,Biaya Service & Ongkos Mesin,,6-023b,Biaya Service & Ongkos Mesin Rafia,1.0,HIGH
LABA RUGI MEI,47,6-001b,6-001,Biaya Kunjungan Pelanggan,,6-001b,Biaya Kunjungan Pelanggan Rafia,1.0,HIGH
LABA RUGI MEI,48,6-002b,6-002,Biaya Kirim Barang ke Pelanggan,,6-002b,Biaya Kirim Barang ke Pelanggan,1.0,HIGH
LABA RUGI MEI,49,6-002b,6-002,Biaya Overhead Pabrik,,6-002b,Biaya Kirim Barang ke Pelanggan,0.385,LOW
