sheet_code,sheet_name,mapped_db_code,mapped_db_name,accountId,account_type,amount_source,debit,credit,opening_method,decision_note
1-111,Kas Besar,1-111,Kas Besar,7e3c7308-616a-4c9c-bd7c-0473775a9ecd,ASSET,0.00,0.00,0.00,JOURNAL_ONLY,
1-112,Kas Kecil,1-112,Kas Kecil,a5ad4ec8-e2eb-4265-8c21-af3aeb1884ad,ASSET,22692765.60,22692765.60,0.00,JOURNAL_ONLY,
1-113,MANDIRI,1-113,Bank Mandiri,8d6380a6-321e-42cc-99dd-20e7227437ae,ASSET,9169510.98,9169510.98,0.00,JOURNAL_ONLY,
1-114,BCA,1-114,Bank BCA,fc006d9d-73c5-4695-b483-03255f578854,ASSET,635383.70,635383.70,0.00,JOURNAL_ONLY,
1-116,Pajak Dibayar Dimuka,1-116b,Pajak Dibayar Dimuka Rafia,eb68e9a7-91d7-40f4-8b53-20159acb9f9f,ASSET,647584521.00,647584521.00,0.00,JOURNAL_ONLY,
1-117,Piutang Karyawan,1-117,Piutang Karyawan,6d72e42d-bee1-4519-8457-875db8de8770,ASSET,15040000.00,15040000.00,0.00,JOURNAL_ONLY,
1-121,Konstruksi dalam Pengerjaan,1-199,Rekening Sementara,8f8a8395-8591-4f14-a114-68fa6778fe85,ASSET,8165000.00,8165000.00,0.00,JOURNAL_ONLY,Map sementara untuk CIP sampai akun permanen dibuat.
1-122,Asuransi Dibayar Dimuka,1-124b,Asuransi Dibayar Dimuka Rafia,959cdb01-544e-4f0a-856f-0dc12a2e8331,ASSET,0.00,0.00,0.00,JOURNAL_ONLY,
1-123,Sewa Dibayar Dimuka,1-125,Sewa Dibayar Dimuka,6f83c45b-64cc-4d0b-b6ee-bd813c24e619,ASSET,51502003.00,51502003.00,0.00,JOURNAL_ONLY,
1-125,Persediaan Bahan Penolong,1-125,Sewa Dibayar Dimuka,6f83c45b-64cc-4d0b-b6ee-bd813c24e619,ASSET,3650431.74,3650431.74,0.00,JOURNAL_ONLY,
1-133,Uang Muka ke Supplier,1-133,Uang Muka ke Supplier,cbaf0019-3593-4827-8a22-53bd57adc4f9,ASSET,60917215.54,60917215.54,0.00,JOURNAL_ONLY,
2-120,PPN Keluaran,2-120b,PPN Keluaran Rafia,5e6b3dad-5992-498f-81c2-48a72a05abca,LIABILITY,667916028.48,0.00,667916028.48,JOURNAL_ONLY,
2-130,PPN Masukan,2-130b,PPN Masukan Rafia,8aedd857-30f8-4416-9a5a-8ffc685966b6,LIABILITY,0.00,0.00,0.00,JOURNAL_ONLY,
2-131,Hutang Pajak,2-131b,Hutang Pajak Rafia,14569e73-225c-4dbb-8c7d-dd3143fbc801,LIABILITY,0.00,0.00,0.00,JOURNAL_ONLY,
2-140,Hutang Lancar Lainnya,2-140b,Hutang Lancar Lainnya Rafia,0d476bb6-3929-49bc-b8e7-27a93eae7fdc,LIABILITY,0.00,0.00,0.00,JOURNAL_ONLY,
2-210,Hutang Jangka Panjang,2-210b,Hutang Jangka Panjang Rafia,ffa6f2e8-2946-46fb-ba9f-2c1ad5f947d2,LIABILITY,0.00,0.00,0.00,JOURNAL_ONLY,
2-390,Hutang ke Nugroho Pramono,2-390,Hutang ke Nugroho Pramono,71bc1bd3-becf-4ba4-988e-29ef9c0883f4,LIABILITY,681000000.00,0.00,681000000.00,REVIEW_REQUIRED_OWNER_LIABILITY,Tetap sebagai hutang owner/related party sesuai sheet.
3-100b,Modal Saham,3-100b,Modal Saham Rafia,dc7bd96c-8fe4-4a99-9dc2-429b418fcb42,EQUITY,0.00,0.00,0.00,JOURNAL_ONLY,
3-201b,Laba Tahun Berjalan,3-200b,Laba Ditahan Rafia,19015a77-fdba-4590-95bb-7c3fbfa20639,EQUITY,172978343.45,0.00,172978343.45,JOURNAL_ONLY,Current-year earnings lama diparkir ke retained earnings saat migrasi opening.
3-200b,Laba Ditahan,3-200b,Laba Ditahan Rafia,19015a77-fdba-4590-95bb-7c3fbfa20639,EQUITY,355473088.24,0.00,355473088.24,JOURNAL_ONLY,
