sheet,row,sheet_code,sheet_name,amount,code_norm,mapped_db_code,mapped_db_name,db_type,db_category,match_status,match_basis,similarity_score,opening_method,decision_note
NERACA MEI,8,1-111,Kas Besar,0.0,1-111,1-111,Kas Besar,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,9,1-112,Kas Kecil,22692765.6,1-112,1-112,Kas Kecil,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,10,1-113,MANDIRI,9169510.98,1-113,1-113,Bank Mandiri,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,11,1-114,BCA,635383.7,1-114,1-114,Bank BCA,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,13,1-116,Pajak Dibayar Dimuka,647584521.0,1-116,1-116b,Pajak Dibayar Dimuka Rafia,ASSET,CURRENT_ASSET,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,14,1-117,Piutang Karyawan,15040000.0,1-117,1-117,Piutang Karyawan,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,15,1-121,Konstruksi dalam Pengerjaan,8165000.0,1-121,1-199,Rekening Sementara,ASSET,CURRENT_ASSET,OVERRIDE_APPROVED,SUGGESTED,0.512,JOURNAL_ONLY,Map sementara untuk CIP sampai akun permanen dibuat.
NERACA MEI,16,1-122,Asuransi Dibayar Dimuka,0.0,1-122,1-124b,Asuransi Dibayar Dimuka Rafia,ASSET,CURRENT_ASSET,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,17,1-123,Sewa Dibayar Dimuka,51502003.0,1-123,1-125,Sewa Dibayar Dimuka,ASSET,CURRENT_ASSET,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,19,1-125,Persediaan Bahan Penolong,3650431.74,1-125,1-125,Sewa Dibayar Dimuka,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,25,1-133,Uang Muka ke Supplier,60917215.54,1-133,1-133,Uang Muka ke Supplier,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,44,2-120,PPN Keluaran,667916028.48,2-120,2-120b,PPN Keluaran Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,45,2-130,PPN Masukan,0.00,2-130,2-130b,PPN Masukan Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,46,2-131,Hutang Pajak,0.0,2-131,2-131b,Hutang Pajak Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,47,2-140,Hutang Lancar Lainnya,0.00,2-140,2-140b,Hutang Lancar Lainnya Rafia,LIABILITY,CURRENT_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,50,2-210,Hutang Jangka Panjang,0.0,2-210,2-210b,Hutang Jangka Panjang Rafia,LIABILITY,LONG_TERM_LIABILITY,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,51,2-390,Hutang ke Nugroho Pramono,681000000.0,2-390,2-390,Hutang ke Nugroho Pramono,LIABILITY,LONG_TERM_LIABILITY,APPROVED_AS_IS,DIRECT_CODE,1.0,REVIEW_REQUIRED_OWNER_LIABILITY,Tetap sebagai hutang owner/related party sesuai sheet.
NERACA MEI,53,3-100b,Modal Saham,0.0,3-100,3-100b,Modal Saham Rafia,EQUITY,CAPITAL,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,54,3-201b,Laba Tahun Berjalan,172978343.45,3-201,3-200b,Laba Ditahan Rafia,EQUITY,RETAINED_EARNINGS,OVERRIDE_APPROVED,SUGGESTED,0.645,JOURNAL_ONLY,Current-year earnings lama diparkir ke retained earnings saat migrasi opening.
NERACA MEI,55,3-200b,Laba Ditahan,355473088.24,3-200,3-200b,Laba Ditahan Rafia,EQUITY,RETAINED_EARNINGS,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
