sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction,normalizedNameKey,matchedExistingNameByNormalizedKey,refinedIssueTypes,refinedSuggestedAction,finalBucket,finalSku,finalName,finalPrimaryUnit,finalAction,finalCategory
2,Affal Barang Jadi,AB000000,Kg,,4-106 Penjualan Bahan,BARANG JADI,KG,Affal Barang Jadi,AB000000,KG,Produk FINISHED GOOD Rafia,Affal Barang Jadi,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,affal barang jadi,Affal Barang Jadi,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,AB000000,Affal Barang Jadi,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
3,Affal Daun,AD000000,Kg,,4-106 Penjualan Bahan,BARANG JADI,KG,Affal Daun,AD000000,KG,Produk FINISHED GOOD Rafia,Affal Daun,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,affal daun,Affal Daun,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,AD000000,Affal Daun,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
4,Affal Prongkol,AP000000,Kg,,4-106 Penjualan Bahan,BARANG JADI,KG,Affal Prongkol,AP000000,KG,Produk FINISHED GOOD Rafia,Affal Prongkol,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,affal prongkol,Affal Prongkol,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,AP000000,Affal Prongkol,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
5,Lakop Pel Air Biru Muda,LR0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Biru Muda,LR0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Biru Muda,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,lakop pel air biru muda,Lakop Pel Air Biru Muda,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,LR0000,Lakop Pel Air Biru Muda,PCS,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
6,Lakop Pel Air Hijau,LJ0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Hijau,LJ0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Hijau,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,lakop pel air hijau,Lakop Pel Air Hijau,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,LJ0000,Lakop Pel Air Hijau,PCS,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
7,Lakop Pel Air Kuning,LK0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Kuning,LK0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Kuning,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,lakop pel air kuning,Lakop Pel Air Kuning,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,LK0000,Lakop Pel Air Kuning,PCS,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
8,Lakop Pel Air Merah,LM0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Merah,LM0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Merah,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,lakop pel air merah,Lakop Pel Air Merah,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,LM0000,Lakop Pel Air Merah,PCS,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
9,Lakop Pel Air Orange,LO0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Orange,LO0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Orange,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,lakop pel air orange,Lakop Pel Air Orange,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,LO0000,Lakop Pel Air Orange,PCS,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
10,Rafia Bening Super,RBS0000,Kg,,4-102 Penjualan Rafia Super,BARANG JADI,KG,Rafia Bening Super,RBS0000,KG,Produk FINISHED GOOD Rafia,Rafia Bening Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia bening super,Rafia Bening Super,NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RBS0000,Rafia Bening Super,KG,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
11,"Rafia Bening Super 0,4 (10)",RBS0410,Bal,,4-102 Penjualan Rafia Super,BARANG JADI,BAL,"Rafia Bening Super 0,4 (10)",RBS0410,BAL,Produk FINISHED GOOD Rafia,"Rafia Bening Super 0,4 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,rafia bening super 0.4 (10),"Rafia Bening Super 0,4 (10)",NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW,SAFE_EXISTING_UPDATE,RBS0410,"Rafia Bening Super 0,4 (10)",BAL,SAFE_EXISTING_UPDATE,EXISTING_UPDATE
