sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction
2,Affal Barang Jadi,AB000000,Kg,,4-106 Penjualan Bahan,BARANG JADI,KG,Affal Barang Jadi,AB000000,KG,Produk FINISHED GOOD Rafia,Affal Barang Jadi,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
3,Affal Daun,AD000000,Kg,,4-106 Penjualan Bahan,BARANG JADI,KG,Affal Daun,AD000000,KG,Produk FINISHED GOOD Rafia,Affal Daun,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
4,Affal Prongkol,AP000000,Kg,,4-106 Penjualan Bahan,BARANG JADI,KG,Affal Prongkol,AP000000,KG,Produk FINISHED GOOD Rafia,Affal Prongkol,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
5,Lakop Pel Air Biru Muda,LR0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Biru Muda,LR0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Biru Muda,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
6,Lakop Pel Air Hijau,LJ0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Hijau,LJ0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Hijau,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
7,Lakop Pel Air Kuning,LK0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Kuning,LK0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Kuning,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
8,Lakop Pel Air Merah,LM0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Merah,LM0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Merah,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
9,Lakop Pel Air Orange,LO0000,Pcs,,4-111 Penjualan Lakop Pel Air,BARANG JADI,PCS,Lakop Pel Air Orange,LO0000,PCS,Produk FINISHED GOOD Rafia,Lakop Pel Air Orange,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
10,Rafia Bening Super,RBS0000,Kg,,4-102 Penjualan Rafia Super,BARANG JADI,KG,Rafia Bening Super,RBS0000,KG,Produk FINISHED GOOD Rafia,Rafia Bening Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
11,"Rafia Bening Super 0,4 (10)",RBS0410,Bal,,4-102 Penjualan Rafia Super,BARANG JADI,BAL,"Rafia Bening Super 0,4 (10)",RBS0410,BAL,Produk FINISHED GOOD Rafia,"Rafia Bening Super 0,4 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
12,"Rafia Bening Super 0,75 (6)",RBS0760,Bal,,4-102 Penjualan Rafia Super,BARANG JADI,BAL,,,,,Rafia Bening Super 0.75 (6),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
13,"Rafia Bening Super 0,8 (10)",RBS0810,Bal,,4-102 Penjualan Rafia Super,BARANG JADI,BAL,,,,,Rafia Bening Super 0.8 (10),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
14,"Rafia Bening Super 0,95 (10)",RBS9510,Bal,,4-102 Penjualan Rafia Super,BARANG JADI,BAL,,,,,Rafia Bening Super 0.95 (10),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
15,Rafia Bening Super 1 (10),RBS1010,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,Rafia Bening Super 1 (10),RBS1010,BAL,Produk FINISHED GOOD Rafia,Rafia Bening Super 1 (10),,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
16,Rafia Bening Super Jasa,RBJ0000,Kg,,4-108 Penjualan Rafia Maklon,BARANG JADI,KG,Rafia Bening Super Jasa,RBJ0000,KG,Produk FINISHED GOOD Rafia,Rafia Bening Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
17,Rafia Biru KW,RRK0000,Kg,,4-104 Penjualan Rafia Kw,BARANG JADI,KG,Rafia Biru KW,RRK0000,KG,Produk FINISHED GOOD Rafia,Rafia Biru KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
18,"Rafia Biru KW 0,5 (10)",RRK0510,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Biru KW 0,5 (10)",RRK0510,BAL,Produk FINISHED GOOD Rafia,"Rafia Biru KW 0,5 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
19,Rafia Biru KW 1 (10),RRK0110,Bal,,4-104 Penjualan Rafia Kw,BARANG JADI,BAL,Rafia Biru KW 1 (10),RRK0110,BAL,Produk FINISHED GOOD Rafia,Rafia Biru KW 1 (10),,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
20,Rafia Biru KW Super,RRW0000,Kg,,4-116 Penjualan Rafia Kw Super,BARANG JADI,KG,Rafia Biru KW Super,RRW0000,KG,Produk FINISHED GOOD Rafia,Rafia Biru KW Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
21,Rafia Biru Super,RRS0000,Kg,,4-102 Penjualan Rafia Super,BARANG JADI,KG,Rafia Biru Super,RRS0000,KG,Produk FINISHED GOOD Rafia,Rafia Biru Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
22,"Rafia Biru Super 0,4 (10)",RRS0410,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Biru Super 0,4 (10)",RRS0410,BAL,Produk FINISHED GOOD Rafia,"Rafia Biru Super 0,4 (10)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
23,"Rafia Biru Super 0,75 (6)",RRS7560,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,"Rafia Biru Super 0,75 (6)",RRS7560,BAL,Produk FINISHED GOOD Rafia,"Rafia Biru Super 0,75 (6)",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
24,"Rafia Biru Super 0,7 (6)",RRS0760,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,Rafia Biru Super 0.7 (6),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
25,"Rafia Biru Super 0,8 (10)",RRS0810,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,Rafia Biru Super 0.8 (10),SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
