sheet,row,code_raw,name_sheet,amount,code_norm,db_code,db_name,db_type,db_category,match_status
NERACA MEI,8,1-111,Kas Besar,,1-111,1-111,Kas Besar,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,9,1-112,Kas Kecil,,1-112,1-112,Kas Kecil,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,10,1-113,MANDIRI,,1-113,1-113,Bank Mandiri,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,11,1-114,BCA,,1-114,1-114,Bank BCA,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,12,1-115,Piutang Dagang,,1-115,,,,,NO_MATCH
NERACA MEI,13,1-116,Pajak Dibayar Dimuka,,1-116,,,,,NO_MATCH
NERACA MEI,14,1-117,Piutang Karyawan,,1-117,1-117,Piutang Karyawan,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,15,1-121,Konstruksi dalam Pengerjaan,,1-121,,,,,NO_MATCH
NERACA MEI,16,1-122,Asuransi Dibayar Dimuka,,1-122,,,,,NO_MATCH
NERACA MEI,17,1-123,Sewa Dibayar Dimuka,,1-123,,,,,NO_MATCH
NERACA MEI,18,1-124,Persediaan Hadiah,,1-124,,,,,NO_MATCH
NERACA MEI,19,1-125,Persediaan Bahan Penolong,,1-125,1-125,Sewa Dibayar Dimuka,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,20,1-126,Persediaan Barang Jadi,,1-126,1-126,Persediaan Hadiah,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,21,1-127,Persediaan Affal Rafia,,1-127,1-127,Persediaan Bahan Penolong,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,22,1-130,Persediaan Bahan Baku,,1-130,1-130,Persediaan Bahan Baku Rafia,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,23,1-131,Persediaan Bahan Kemasan,,1-131,1-131,Persediaan Bahan Kemasan Rafia,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,24,1-132,Persediaan Barang dalam Proses,,1-132,1-132,Persediaan Barang dalam Proses Rafia,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,25,1-133,Uang Muka ke Supplier,,1-133,1-133,Uang Muka ke Supplier,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,26,1-134,Persediaan Alat Tulis,,1-134,1-134,Persediaan Alat Tulis,ASSET,CURRENT_ASSET,MATCH
NERACA MEI,28,1-211,Tanah,,1-211,1-211,Tanah,ASSET,FIXED_ASSET,MATCH
NERACA MEI,29,1-212,Bangunan,,1-212,,,,,NO_MATCH
NERACA MEI,30,1-213,Mesin,,1-213,,,,,NO_MATCH
NERACA MEI,31,1-214,Kendaraan,,1-214,1-214,Kendaraan,ASSET,FIXED_ASSET,MATCH
NERACA MEI,32,1-215,Peralatan Kantor,,1-215,,,,,NO_MATCH
NERACA MEI,33,1-216,Akum. Penyusutan Bangunan,,1-216,,,,,NO_MATCH
NERACA MEI,34,1-217,Akum. Penyusutan Mesin,,1-217,,,,,NO_MATCH
NERACA MEI,35,1-218,Akum. Penyusutan Kendaraan,,1-218,1-218,Akum. Penyusutan Kendaraan,ASSET,FIXED_ASSET,MATCH
NERACA MEI,36,1-219,Akum. Penyusutan Peralatan Kantor,,1-219,,,,,NO_MATCH
NERACA MEI,41,2-110,Hutang Dagang,,2-110,,,,,NO_MATCH
NERACA MEI,42,2-111,Uang Muka Cust,,2-111,2-111,Uang Muka Cust,LIABILITY,CURRENT_LIABILITY,MATCH
NERACA MEI,43,2-112,Hutang Biaya,,2-112,2-112,Hutang Biaya,LIABILITY,CURRENT_LIABILITY,MATCH
NERACA MEI,44,2-120,PPN Keluaran,,2-120,,,,,NO_MATCH
NERACA MEI,45,2-130,PPN Masukan,,2-130,,,,,NO_MATCH
NERACA MEI,46,2-131,Hutang Pajak,,2-131,,,,,NO_MATCH
NERACA MEI,47,2-140,Hutang Lancar Lainnya,,2-140,,,,,NO_MATCH
NERACA MEI,48,2-150,Tabungan Karyawan,,2-150,2-150,Tabungan Karyawan,LIABILITY,CURRENT_LIABILITY,MATCH
NERACA MEI,50,2-210,Hutang Jangka Panjang,,2-210,,,,,NO_MATCH
NERACA MEI,51,2-390,Hutang ke Nugroho Pramono,,2-390,2-390,Hutang ke Nugroho Pramono,LIABILITY,LONG_TERM_LIABILITY,MATCH
NERACA MEI,53,3-100b,Modal Saham,,3-100,,,,,NO_MATCH
NERACA MEI,54,3-201b,Laba Tahun Berjalan,,3-201,,,,,NO_MATCH
NERACA MEI,55,3-200b,Laba Ditahan,,3-200,,,,,NO_MATCH
LABA RUGI MEI,6,4-101,Penjualan Rafia Bal,,4-101,4-101,Penjualan Rafia Bal,REVENUE,OPERATING_REVENUE,MATCH
LABA RUGI MEI,7,4-102,Penjualan Rafia Super,,4-102,4-102,Penjualan Rafia Super,REVENUE,OPERATING_REVENUE,MATCH
