sheet,row,sheet_code,sheet_name,amount,code_norm,mapped_db_code,mapped_db_name,db_type,db_category,match_status,match_basis,similarity_score,opening_method,decision_note
NERACA MEI,8,1-111,Kas Besar,0.0,1-111,1-111,Kas Besar,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,9,1-112,Kas Kecil,22692765.6,1-112,1-112,Kas Kecil,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,10,1-113,MANDIRI,9169510.98,1-113,1-113,Bank Mandiri,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,11,1-114,BCA,635383.7,1-114,1-114,Bank BCA,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,12,1-115,Piutang Dagang,192527866.0,1-115,1-115b,Piutang Dagang Rafia,ASSET,CURRENT_ASSET,MAPPED,SUGGESTED,1.0,AR_MODULE,
NERACA MEI,13,1-116,Pajak Dibayar Dimuka,647584521.0,1-116,1-116b,Pajak Dibayar Dimuka Rafia,ASSET,CURRENT_ASSET,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,14,1-117,Piutang Karyawan,15040000.0,1-117,1-117,Piutang Karyawan,ASSET,CURRENT_ASSET,MAPPED,DIRECT_CODE,1.0,JOURNAL_ONLY,
NERACA MEI,15,1-121,Konstruksi dalam Pengerjaan,8165000.0,1-121,1-199,Rekening Sementara,ASSET,CURRENT_ASSET,OVERRIDE_APPROVED,SUGGESTED,0.512,JOURNAL_ONLY,Map sementara untuk CIP sampai akun permanen dibuat.
NERACA MEI,16,1-122,Asuransi Dibayar Dimuka,0.0,1-122,1-124b,Asuransi Dibayar Dimuka Rafia,ASSET,CURRENT_ASSET,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
NERACA MEI,17,1-123,Sewa Dibayar Dimuka,51502003.0,1-123,1-125,Sewa Dibayar Dimuka,ASSET,CURRENT_ASSET,MAPPED,SUGGESTED,1.0,JOURNAL_ONLY,
