Parent Produk,Tipe,Nama Produk,SKU,Satuan
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Air,R2300001,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,BALLPOINT HITAM TECHNO,R2300000,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,BLACK KC 91504,H10H1504,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Black KC 9504,H10H0504,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Black KC 9508,H10H0508,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Bright OBA,BB000001,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,C Plast 4074 Green,F30J0074,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,C Plast 5159 Violet,F30U0159,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,C Plast 6034 Yellow,F30Y0034,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,C-Plast 5045 Blue,F30R0045,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,C-Plast Blue 5035,F30R0035,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,CPP Warna,A2300000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Cairan Pembersih,AT222008,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Blue 92181,G30R0181,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Blue 92413,G30R0413,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Blue 97091,G30R0091,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Blue 974,G30R0974,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Green 81515,G30J0515,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Green 8235,G30J0235,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Orange 2111,G30A0211,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Orange 243,G30A0243,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Pink 112021,G30P0021,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Purple 552,G30U0552,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Red 63691,G30E0691,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Red 686,G30E0686,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Red 688,G30E0688,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Yellow 7111,G30Y0711,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Yellow 742,G30Y0742,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Colmaster Yellow 743,G30Y0743,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Dispenser Isolasi / Lakban,BP000001,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Double Tape,AT222011,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Gloves Sarung Tangan,AT222014,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Green,H30J0000,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Green 81181,G30J0181,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,ISOLASI/LAKBAN BENING 1",BP000003,PCS
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Intrablack 3510,G30H0510,KG
Produk RAW MATERIAL Rafia,RAW_MATERIAL,Intrawhite 7103 B,G30D0103,KG
